WorkID,WorkTitle,Genre,GenreID
1484,"Brave New World (2020 TV series)","Narrative, TV series or episode","20001, 2000131"
2655,"Change Return","Narrative, Movie","20001, 2000130"
2655,"Change Return","Narrative, Movie","20001, 2000130"
1022,"Coronavirus Drone Video","Narrative, Online video","20001, 2000132"
1022,"Coronavirus Drone Video","Narrative, Online video","20001, 2000132"
1839,"Død og oppstandelse","Narrative, Novel","20001, 2000133"
1839,"Død og oppstandelse","Narrative, Novel","20001, 2000133"
1223,"House of Earth and Blood","Narrative, Novel","20001, 2000133"
1223,"House of Earth and Blood","Narrative, Novel","20001, 2000133"
1090,"October Faction","Narrative, TV series or episode","20001, 2000131"
1090,"October Faction","Narrative, TV series or episode","20001, 2000131"
1734,Onisciente,"Narrative, TV series or episode","20001, 2000131"
1734,Onisciente,"Narrative, TV series or episode","20001, 2000131"
1094,"See you","Narrative, Music video","20001, 2000316"
1094,"See you","Narrative, Music video","20001, 2000316"
2972,"Solar Opposites","Narrative, TV series or episode","20001, 2000131"
2972,"Solar Opposites","Narrative, TV series or episode","20001, 2000131"
1189,Upload,"Narrative, TV series or episode","20001, 2000131"
1189,Upload,"Narrative, TV series or episode","20001, 2000131"
2642,Utbryterne,"Narrative, Novel","20001, 2000133"
2642,Utbryterne,"Narrative, Novel","20001, 2000133"
2463,"The Last Human","Narrative, Novel","20001, 2000133"
2463,"The Last Human","Narrative, Novel","20001, 2000133"
3129,"Remote Control","Narrative, Novel","20001, 2000133"
3129,"Remote Control","Narrative, Novel","20001, 2000133"
2519,"The Social Dilemma","Narrative, Movie","20001, 2000130"
2519,"The Social Dilemma","Narrative, Movie","20001, 2000130"
2433,"My Holo Love","Narrative, TV series or episode","20001, 2000131"
2433,"My Holo Love","Narrative, TV series or episode","20001, 2000131"
2544,"The Invisible Man","Narrative, Movie","20001, 2000130"
2544,"The Invisible Man","Narrative, Movie","20001, 2000130"
1487,"AI Amok","Narrative, Movie","20001, 2000130"
1487,"AI Amok","Narrative, Movie","20001, 2000130"
1940,Rugal,"Narrative, TV series or episode","20001, 2000131"
1940,Rugal,"Narrative, TV series or episode","20001, 2000131"
2975,"The Salvage Crew","Narrative, Novel","20001, 2000133"
2975,"The Salvage Crew","Narrative, Novel","20001, 2000133"
